,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue id,Venue Category
1249,75071,33.2324328,-96.6718598,IHOP,33.21903955397853,-96.63463788009179,4b846c4af964a5208b3431e3,Breakfast Spot
599,75093,33.0399256979855,-96.8096675872968,Cristina's Fine Mexican Restaurant,33.027136111751524,-96.84048712791547,4b856943f964a520115c31e3,Mexican Restaurant
1071,75069,33.165171,-96.629944,Chipotle Mexican Grill,33.172935,-96.641888,4b85b122f964a520316d31e3,Mexican Restaurant
399,75074,33.022388,-96.699102,Michaels,33.02085361239209,-96.71580583682953,4b880724f964a52001da31e3,Arts & Crafts Store
1036,75069,33.165171,-96.629944,Rick's Chophouse,33.197458916306,-96.61578955324886,4b89d635f964a520395032e3,Steakhouse
1028,75069,33.165171,-96.629944,Cadillac Pizza Pub,33.196823442854445,-96.61597748391532,4b89fbaef964a520225a32e3,Pizza Place
1235,75071,33.2324328,-96.6718598,Waffle House,33.21071343320472,-96.63711202737923,4b8a82a6f964a520ed6f32e3,Breakfast Spot
436,75075,33.025501943712,-96.7440978471312,Chisholm Trail,33.04993005690481,-96.72703291455238,4b8ab4f5f964a520307b32e3,Trail
276,75025,33.0875339911856,-96.7446683423545,PetSmart,33.129278,-96.7279086,4b8b0851f964a520438f32e3,Pet Store
859,75035,33.1406759763169,-96.778205234649,Cicis,33.12408103949845,-96.80341847240925,4b8db06cf964a520bf0833e3,Pizza Place
223,75025,33.0875339911856,-96.7446683423545,Heritage Yards,33.08773754888503,-96.78541752032879,4b8efaf9f964a5208a4233e3,Baseball Field
